Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample001,0.0847144438835795,0,0,0.0391560202908447,0,0.369010379310922,0.0183149397299462,0,0,0,0.0260836480070297,0,0.0963036695742951,0,0.03190713683366,0.187895801848843,0.0524851960946815,0.0299810175891282,0.0489966375965044,0,0,0.0151511092405651,0,0.224859745313299,0.989874895735507
sample002,0.0114472445666841,0,0.0432802441951901,0.0179239260383702,0,0.235781673769579,0.000178528360986257,0,0,0,0.0148669964096455,0.00834664388989942,0.242110386218808,0.02650160757431,0.0158450531125931,0.234284586529682,0.024525435872856,0.00745072471324612,0.0603105212419053,0,0.0431248247717469,0.0140216027344968,0,0.150976030120158,1.01886402069505
sample003,0.0597909766610363,0,0.00983796815105865,0.0119125688811655,0,0.290106668059399,0.0143888970366844,0,0,0,0.0485906184420755,0,0.017877263932564,0.107097987468027,0.134462875206048,0.243282149263275,0.0121257374198943,0,0.0475495557164955,0,0,0.0029767337622766,0,0.104086605882417,1.04517884612966
sample004,0.0289840812630827,0,0,0.0787860479163718,0,0.260245266577272,0,0,0,0,0,0.00304892547300152,0.0944260316355422,0.094173424891774,0,0.344851652394997,0.00268224437891129,0.0500038413307259,0,0.029023817679062,0.0137746664592593,0,0,0.156046637222074,1.02606358944952
sample005,0.0832172893733637,0,0.0181520370375638,0,0,0.382878461793416,0,0,0,0,0.0321885068353228,0,0.0170906921675379,0.0672930975904936,0.0648225005188709,0.245113738176902,0.0344412816635087,0,0.0471746825259363,0,0.00762771231708474,0,0,0.12235990512569,1.03296187956564
sample006,0.307660662700195,0,0.0290868975760249,0.113058146174855,0,0.225654087697816,0.00228139817000993,0,0.00376954414074436,0,0,0,0.0864999983549653,0.0108542449432183,0.0128640295521445,0.12854362104329,0,0.00406527543779344,0.0698916847861955,0,0,0.00577040942274823,0,0.423173076782144,0.906591001836976
sample007,0.000910234458344447,0.0590367094950291,0,0.176448407348823,0,0.241755956066079,0,0,0,0,0,0,0.0522365067105438,0.0757810849249547,0.0443378291893154,0.103684231820111,0.135491594810766,0.00908885169957549,0.0523525974791948,0,0,0.0488759959972629,0,0.10025522277735,1.04059130115457
sample008,0.0336422884767517,0,0,0,0,0.213920833151186,0,0,0,0,0.032979557567053,0,0.00987312966421492,0.274381782560761,0.00839390357689588,0.320223871614566,0,0.053091826174574,0.0521218937978397,0,0,0.00137091341615774,0,0.223688671767408,1.00703116867884
sample009,0,0.0453267924057765,0.00299886885511122,0,0,0.167912841120916,0,0.0168243328518405,0,0,0.0397354010965165,0,0,0.329289337516928,0,0.118162276009165,0,0.157586465258386,0,0.0809632964400981,0.0106977926267821,0.0305025958184808,0,0.255198407347179,0.992766834381919
sample010,0.122615547702609,0,0.0274121542981795,0.119863121773823,0,0.193471358032929,0,0,0.0190820630744762,0,0,0.0781361222968864,0.0410660863871943,0.0319799094426538,0.0223618090227449,0.167660018839448,0,0.0216955589989573,0.154656250130099,0,0,0,0,0.198414022868534,1.00128874891668
sample011,0.359609939640839,0,0.0394484420507897,0.048839655465245,0,0.274437550230535,0.00602651855149804,0,0,0,0.0415087534064658,0,0.0125852623279355,0.0719483485284098,0.0109797534518103,0.11234586927656,0,0.0146715906821072,0.00759831638780349,0,0,0,0,0.496567563631965,0.867400136426251
sample012,0,0.00527399498506799,0.0184798595140497,0.0132260940220815,0,0.133205504660207,0.0460346760282065,0.0139860057455744,0,0,0.0601343091257049,0.0469491007663521,0.000596454254196514,0.0823487080466152,0.115397193927167,0.15193523244904,0,0.175626311898652,0.0788898596745996,0,0.0178157680223657,0.0401009268801205,0,0.158438403969419,1.02895574509174
sample013,0.0657496231997993,0,0.00881434384751524,0.105249757848733,0,0.129321357786677,0,0,0.00111225107591635,0,0,0.0246705424852109,0.0220442779167727,0.232948408001938,0.00837053347973025,0.253452109038298,0,0.011470124301374,0.136796671018036,0,0,0,0,0.177822066257883,1.01613257744615
sample014,0.0413854374505541,0.0321875258314248,0,0.0487449022298938,0,0.283694932909282,0.00671388691770096,0,0.00952497904900974,0,0.0732453618862488,0,0.0154383843355399,0.0936564024850635,0.0308686789492827,0.231895832238186,0.0462882793423971,0.00892307900329093,0.0774323173721263,0,0,0,0,0.119643958484171,1.03126032726695
